Source,Source Plate Barcode,Source Well,Destination,Destination Plate Barcode,Destination Well,Transfer Volume,Concentration,Reagent ID,Printing ID,Layer,Updated At,Printed At,REC ID
Working-L1700-1thru4.v1.p1,r04221,P28,P-1,fake_bc,B02,2.5,10000.0,b134e81c-e3b9-49b0-bc4c-4dd2e1f3aea5,None,treatment,2019-12-11 12:20:14.401420,None,REC-0000433
Working-L1700-1thru4.v1.p1,r04221,V36,P-1,fake_bc,B02,2.5,10000.0,2607cb0e-2b52-4966-93f4-48bd014c19ad,None,treatment,2019-12-11 12:20:14.402029,None,REC-0002056
Working-L1700-1thru4.v1.p1,r04221,AA39,P-1,fake_bc,B02,2.5,10000.0,416f2800-20cd-45ac-b982-6ade1191b02e,None,treatment,2019-12-11 12:20:14.402707,None,REC-0001029
Working-L1700-1thru4.v1.p1,r04221,U26,P-1,fake_bc,B02,2.5,10000.0,9e708665-6baf-4182-a1a6-d3792c3b149f,None,treatment,2019-12-11 12:20:14.403318,None,REC-0000591
Working-L1700-1thru4.v1.p1,r04221,AE32,P-1,fake_bc,B02,2.5,10000.0,34ff2a8e-cec8-48ae-a018-a40e6fa225e6,None,treatment,2019-12-11 12:20:14.403928,None,REC-0002008
Working-L1700-1thru4.v1.p1,r04221,AE06,P-1,fake_bc,B04,2.5,10000.0,9e064f2d-a633-43eb-a751-87fdf333cbe4,None,treatment,2019-12-11 12:20:15.456965,None,REC-0000551
Working-L1700-1thru4.v1.p1,r04221,J20,P-1,fake_bc,B04,2.5,10000.0,f923249d-ea3f-4943-9de5-20a16e91fa4c,None,treatment,2019-12-11 12:20:15.457573,None,REC-0002010
Working-L1700-1thru4.v1.p1,r04221,AF16,P-1,fake_bc,B04,2.5,10000.0,c24e5618-f7d3-42a5-82ab-14ddd58f481c,None,treatment,2019-12-11 12:20:15.458171,None,REC-0001119
Working-L1700-1thru4.v1.p1,r04221,X07,P-1,fake_bc,B04,2.5,10000.0,fac48672-2bed-4265-ab3c-418a3a870da5,None,treatment,2019-12-11 12:20:15.458771,None,REC-0001507
Working-L1700-1thru4.v1.p1,r04221,C39,P-1,fake_bc,B04,2.5,10000.0,edeb8ac8-a596-4103-a95e-e1a7b1d6ad5d,None,treatment,2019-12-11 12:20:15.459366,None,REC-0001256
Working-L1700-1thru4.v1.p1,r04221,I04,P-1,fake_bc,B06,2.5,10000.0,d753c8a6-530f-459e-a0fb-ac537e8ea714,None,treatment,2019-12-11 12:20:13.329801,None,REC-0064207
Working-L1700-1thru4.v1.p1,r04221,K22,P-1,fake_bc,B06,2.5,10000.0,47bd41a6-51b3-458e-aae8-61c11a951462,None,treatment,2019-12-11 12:20:13.330399,None,REC-0001095
