address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A01,compound1,compound1,,REC-FAKE-000001,40,uM
A02,compound2,compound2,,REC-FAKE-000002,40,uM
A03,compound3,compound3,,REC-FAKE-000003,40,uM
A04,compound4,compound4,,REC-FAKE-000004,40,uM
A05,compound5,compound5,,REC-FAKE-000005,40,uM
A06,compound6,compound6,,REC-FAKE-000006,40,uM
A07,compound7,compound7,,REC-FAKE-000007,40,uM
A08,compound8,compound8,,REC-FAKE-000008,40,uM
A09,compound9,compound9,,REC-FAKE-000009,40,uM
A10,compound10,compound10,,REC-FAKE-000010,40,uM
A11,compound11,compound11,,REC-FAKE-000011,40,uM
A12,compound12,compound12,,REC-FAKE-000012,40,uM
A13,compound13,compound13,,REC-FAKE-000013,40,uM
A14,compound14,compound14,,REC-FAKE-000014,40,uM
A15,compound15,compound15,,REC-FAKE-000015,40,uM
A16,compound16,compound16,,REC-FAKE-000016,40,uM
A17,compound17,compound17,,REC-FAKE-000017,40,uM
A18,compound18,compound18,,REC-FAKE-000018,40,uM
A19,compound19,compound19,,REC-FAKE-000019,40,uM
A20,compound20,compound20,,REC-FAKE-000020,40,uM
A21,compound21,compound21,,REC-FAKE-000021,40,uM
A22,compound22,compound22,,REC-FAKE-000022,40,uM
A23,compound23,compound23,,REC-FAKE-000023,40,uM
A24,compound24,compound24,,REC-FAKE-000024,40,uM
B01,compound25,compound25,,REC-FAKE-000025,40,uM
B02,compound26,compound26,,REC-FAKE-000026,40,uM
B03,compound27,compound27,,REC-FAKE-000027,40,uM
B04,compound28,compound28,,REC-FAKE-000028,40,uM
B05,compound29,compound29,,REC-FAKE-000029,40,uM
B06,compound30,compound30,,REC-FAKE-000030,40,uM
B07,compound31,compound31,,REC-FAKE-000031,40,uM
B08,compound32,compound32,,REC-FAKE-000032,40,uM
B09,compound33,compound33,,REC-FAKE-000033,40,uM
B10,compound34,compound34,,REC-FAKE-000034,40,uM
B11,compound35,compound35,,REC-FAKE-000035,40,uM
B12,compound36,compound36,,REC-FAKE-000036,40,uM
B13,compound37,compound37,,REC-FAKE-000037,40,uM
B14,compound38,compound38,,REC-FAKE-000038,40,uM
B15,compound39,compound39,,REC-FAKE-000039,40,uM
B16,compound40,compound40,,REC-FAKE-000040,40,uM
