Source,Source Plate Barcode,Source Well,Destination,Destination Plate Barcode,Destination Well,Transfer Volume,Concentration,Reagent ID,Printing ID,Layer,Updated At,Printed At,REC ID
Working-L1700-9thru10.v1.p1,r04231,AA18,P-1,fake_bc,B02,2.5,10000.0,55c88a29-be4e-471f-8419-039caa304279,None,treatment,2019-12-11 12:29:57.247547,None,REC-0000635
Working-L1700-9thru10.v1.p1,r04231,E19,P-1,fake_bc,B02,2.5,10000.0,3b09ff1c-6ae0-4a74-ac64-7129d412c234,None,treatment,2019-12-11 12:29:57.248137,None,REC-0064069
Working-L1700-9thru10.v1.p1,r04231,M39,P-1,fake_bc,B02,2.5,10000.0,58c125a8-c05f-4afd-aa6d-64625415b634,None,treatment,2019-12-11 12:29:57.248730,None,REC-0063609
Working-L1700-9thru10.v1.p1,r04231,E21,P-1,fake_bc,B02,2.5,10000.0,965eb2d9-6928-45a7-a549-0ae7a680d374,None,treatment,2019-12-11 12:29:57.249319,None,REC-0001769
Working-L1700-9thru10.v1.p1,r04231,A06,P-1,fake_bc,B02,2.5,10000.0,af223b89-bd67-4de7-bfce-d06857ec39b6,None,treatment,2019-12-11 12:29:57.249915,None,REC-0001265
Working-L1700-9thru10.v1.p1,r04231,AA17,P-1,fake_bc,B03,2.5,10000.0,5fefbefa-e264-4823-9373-87156a8f4622,None,treatment,2019-12-11 12:29:57.038146,None,REC-0001001
Working-L1700-9thru10.v1.p1,r04231,AE29,P-1,fake_bc,B03,2.5,10000.0,db2ed958-e27a-4a96-a783-34153656cc11,None,treatment,2019-12-11 12:29:57.038743,None,REC-0003647
Working-L1700-9thru10.v1.p1,r04231,Q37,P-1,fake_bc,B03,2.5,10000.0,eae3e895-f53b-49ed-993d-00ac6aa25834,None,treatment,2019-12-11 12:29:57.039337,None,REC-0001159
Working-L1700-9thru10.v1.p1,r04231,AC44,P-1,fake_bc,B03,2.5,10000.0,45f6f191-6508-49ca-93b4-b23f4cd6934f,None,treatment,2019-12-11 12:29:57.039933,None,REC-0064137
Working-L1700-9thru10.v1.p1,r04231,O11,P-1,fake_bc,B03,2.5,10000.0,7d903ce1-6ad8-433c-9831-4c4ad65d1d9f,None,treatment,2019-12-11 12:29:57.040528,None,REC-0001828
Working-L1700-9thru10.v1.p1,r04231,M31,P-1,fake_bc,B04,2.5,10000.0,56c469e8-1a7d-49c6-9121-3f0453c26902,None,treatment,2019-12-11 12:29:56.477449,None,REC-0003601
Working-L1700-9thru10.v1.p1,r04231,AE21,P-1,fake_bc,B04,2.5,10000.0,e56c0bf2-80c0-4eeb-b7d7-0b5db4a9669a,None,treatment,2019-12-11 12:29:56.478470,None,REC-0001841
Working-L1700-9thru10.v1.p1,r04231,G34,P-1,fake_bc,B04,2.5,10000.0,cd64c0fa-1661-486b-a54e-903ca40f0c07,None,treatment,2019-12-11 12:29:56.479558,None,REC-0005385
Working-L1700-9thru10.v1.p1,r04231,U25,P-1,fake_bc,B04,2.5,10000.0,ba92da73-3114-4ecc-a706-969b474d716e,None,treatment,2019-12-11 12:29:56.480307,None,REC-0001340
Working-L1700-9thru10.v1.p1,r04231,O33,P-1,fake_bc,B04,2.5,10000.0,5d463487-a017-402a-a9ef-1e61a35415b3,None,treatment,2019-12-11 12:29:56.480914,None,REC-0001667
Working-L1700-9thru10.v1.p1,r04231,G29,P-1,fake_bc,B06,2.5,10000.0,742d17de-67c4-4f96-bff2-1ca8c8758962,None,treatment,2019-12-11 12:29:55.706193,None,REC-0000900
Working-L1700-9thru10.v1.p1,r04231,E09,P-1,fake_bc,B06,2.5,10000.0,1092ed10-477a-40a3-9104-bb5de891a3b7,None,treatment,2019-12-11 12:29:55.706776,None,REC-0002100
Working-L1700-9thru10.v1.p1,r04231,K29,P-1,fake_bc,B06,2.5,10000.0,e06f8b49-138e-4090-a955-9a3c691f7d9d,None,treatment,2019-12-11 12:29:55.707358,None,REC-0001796
Working-L1700-9thru10.v1.p1,r04231,M43,P-1,fake_bc,B06,2.5,10000.0,90a665cf-0183-4b5a-afd8-82635435dd0c,None,treatment,2019-12-11 12:29:55.707942,None,REC-0064072
Working-L1700-9thru10.v1.p1,r04231,W43,P-1,fake_bc,B06,2.5,10000.0,840bd35f-1382-4263-a4a4-a5fda3912ea6,None,treatment,2019-12-11 12:29:55.708524,None,REC-0000225
Working-L1700-9thru10.v1.p1,r04231,I15,P-1,fake_bc,B07,2.5,10000.0,fadf62e4-ff52-44c4-9460-8fa1e0286d1e,None,treatment,2019-12-11 12:29:56.419721,None,REC-0001904
Working-L1700-9thru10.v1.p1,r04231,AE32,P-1,fake_bc,B07,2.5,10000.0,766ca90e-9e4b-4c2b-bbf1-0d5a0883cfb5,None,treatment,2019-12-11 12:29:56.420318,None,REC-0063164
Working-L1700-9thru10.v1.p1,r04231,I32,P-1,fake_bc,B07,2.5,10000.0,fec68e8f-cf8d-4f9c-a66f-8ced4dab44a9,None,treatment,2019-12-11 12:29:56.420909,None,REC-0005399
Working-L1700-9thru10.v1.p1,r04231,Y15,P-1,fake_bc,B07,2.5,10000.0,34e15d39-89ca-4754-8fd0-b4a0c18fca14,None,treatment,2019-12-11 12:29:56.421498,None,REC-0001721
Working-L1700-9thru10.v1.p1,r04231,M31,P-1,fake_bc,B07,2.5,10000.0,56c469e8-1a7d-49c6-9121-3f0453c26902,None,treatment,2019-12-11 12:29:56.422091,None,REC-0003601
Working-L1700-9thru10.v1.p1,r04231,I30,P-1,fake_bc,B08,2.5,10000.0,a1dba653-c6b0-4261-adcb-fd9497d657a6,None,treatment,2019-12-11 12:29:56.281726,None,REC-0002315
Working-L1700-9thru10.v1.p1,r04231,AA14,P-1,fake_bc,B08,2.5,10000.0,0aabe503-bb2a-4802-9337-40b2923fba4b,None,treatment,2019-12-11 12:29:56.282313,None,REC-0000807
Working-L1700-9thru10.v1.p1,r04231,I23,P-1,fake_bc,B08,2.5,10000.0,42900b95-f0da-4b95-8d90-cf9f460115b7,None,treatment,2019-12-11 12:29:56.282907,None,REC-0001810
Working-L1700-9thru10.v1.p1,r04231,A35,P-1,fake_bc,B08,2.5,10000.0,85ad0100-268e-43ea-b860-13ed008e4e92,None,treatment,2019-12-11 12:29:56.283541,None,REC-0001805
Working-L1700-9thru10.v1.p1,r04231,E11,P-1,fake_bc,B08,2.5,10000.0,5e8d4f23-4810-459e-9643-881cc505a365,None,treatment,2019-12-11 12:29:56.284134,None,REC-0001666
Working-L1700-9thru10.v1.p1,r04231,E19,P-1,fake_bc,B09,2.5,10000.0,3b09ff1c-6ae0-4a74-ac64-7129d412c234,None,treatment,2019-12-11 12:29:57.265560,None,REC-0064069
Working-L1700-9thru10.v1.p1,r04231,A26,P-1,fake_bc,B09,2.5,10000.0,b3fa389d-6b1e-4a0b-be6a-fcd4a2d2b8cf,None,treatment,2019-12-11 12:29:57.266167,None,REC-0004248
Working-L1700-9thru10.v1.p1,r04231,AA26,P-1,fake_bc,B09,2.5,10000.0,41049d02-770c-4060-a5f8-5c051bc1baf8,None,treatment,2019-12-11 12:29:57.266768,None,REC-0003952
Working-L1700-9thru10.v1.p1,r04231,A21,P-1,fake_bc,B09,2.5,10000.0,703a0137-9dd4-4c4a-96c4-779493c4dd82,None,treatment,2019-12-11 12:29:57.267370,None,REC-0000764
Working-L1700-9thru10.v1.p1,r04231,AE37,P-1,fake_bc,B09,2.5,10000.0,ede3554b-006b-4541-b64e-39d329b4000c,None,treatment,2019-12-11 12:29:57.267992,None,REC-0001906
Working-L1700-9thru10.v1.p1,r04231,C43,P-1,fake_bc,B10,2.5,10000.0,15ad14cc-162f-4bdc-b9c2-37b36d8809d9,None,treatment,2019-12-11 12:29:55.986314,None,REC-0005409
